Date,Open,High,Low,Adj Close,Volume,Stock Name
18-03-2021,58.32,58.380001,57.540001,57.719563,306500,DR.REDDY
19-03-2021,58.310001,59.299999,58.310001,58.744934,192600,DR.REDDY
22-03-2021,59.470001,60.189999,59.330002,59.820084,132100,DR.REDDY
23-03-2021,59.860001,60.25,59.490002,59.501522,98500,DR.REDDY
24-03-2021,59.34,59.810001,59.110001,59.342239,182100,DR.REDDY
25-03-2021,59.790001,60.279999,59.48,59.939545,160000,DR.REDDY
26-03-2021,60.259998,61.240002,60.220001,60.96492,183100,DR.REDDY
29-03-2021,61.169998,61.48,60.889999,60.725998,182300,DR.REDDY
30-03-2021,61.080002,61.369999,60.57,60.845455,192200,DR.REDDY
31-03-2021,61.290001,61.610001,61.02,61.114243,270900,DR.REDDY
01-04-2021,62.169998,62.82,62,62.438271,167300,DR.REDDY
05-04-2021,62.5,62.5,61.529999,61.840965,264600,DR.REDDY
06-04-2021,62.48,63.040001,62.400002,62.65728,183600,DR.REDDY
07-04-2021,63,63.040001,62.290001,62.278992,159800,DR.REDDY
08-04-2021,62.599998,63,62.5,62.507957,109700,DR.REDDY
09-04-2021,63.439999,63.990002,63.299999,63.632877,191500,DR.REDDY
12-04-2021,67.050003,67.470001,65.720001,65.554207,193300,DR.REDDY
13-04-2021,63.330002,63.540001,62.490002,62.428314,156800,DR.REDDY
14-04-2021,62.799999,63.360001,62.77,62.796654,80000,DR.REDDY
15-04-2021,63.869999,64.510002,63.869999,63.841934,175700,DR.REDDY
16-04-2021,64.650002,65.330002,64.449997,64.717987,221700,DR.REDDY
19-04-2021,66.029999,66.230003,65.360001,65.703537,215600,DR.REDDY
20-04-2021,67.440002,68.029999,67.330002,67.057426,168300,DR.REDDY
21-04-2021,67.25,68.07,66.669998,67.535271,225900,DR.REDDY
22-04-2021,68.529999,68.849998,68.129997,68.391403,186600,DR.REDDY
23-04-2021,67.480003,68.099998,67.080002,67.744331,179100,DR.REDDY
26-04-2021,67.709999,67.940002,67.339996,67.555183,150300,DR.REDDY
27-04-2021,67.75,67.860001,67.419998,67.47554,130400,DR.REDDY
28-04-2021,67.800003,68.010002,67.470001,67.69455,146400,DR.REDDY
29-04-2021,68.349998,68.959999,68.349998,68.650238,96400,DR.REDDY
30-04-2021,68.760002,69.419998,68.550003,68.709969,182500,DR.REDDY
03-05-2021,69.489998,70.760002,69.489998,70.163414,131900,DR.REDDY
04-05-2021,68.660004,69.269997,68.529999,68.739838,110900,DR.REDDY
05-05-2021,70.019997,70.5,69.879997,69.934448,101300,DR.REDDY
06-05-2021,70.139999,70.949997,70.010002,70.372475,141000,DR.REDDY
